,BTC-USD,cash,value
2016-06-29,0.390668518722,0.609331481278,9352.02697439
2016-06-30,0.395661794975,0.604338205025,9376.77429422
2016-07-01,0.453468771504,0.546531228496,9505.03557641
2016-07-04,0.346616556434,0.653383443566,9290.89735062
2016-07-05,0.386872361201,0.613127638799,9334.0234462
2016-07-06,0.284502151497,0.715497848503,9131.33144763
2016-07-07,0.341049712926,0.658950287074,9243.04317709
2016-07-08,0.321410224702,0.678589775298,9190.66832154
2016-07-11,0.365151004821,0.634848995179,9274.85931024
2016-07-12,0.337222222222,0.662777777778,9226.87596489
2016-07-13,0.330007268175,0.669992731825,9208.41288722
2016-07-14,0.335914857328,0.664085142672,9240.48088338
2016-07-15,0.333356676117,0.666643323883,9224.05205418
2016-07-18,0.359809534393,0.640190465607,9272.07708399
2016-07-19,0.337194845528,0.662805154472,9238.39361637
2016-07-20,0.336525209248,0.663474790752,9239.41124348
2016-07-21,0.308166360353,0.691833639647,9175.76770908
2016-07-22,0.326202387093,0.673797612907,9193.04943808
2016-07-25,0.320539061166,0.679460938834,9189.38005918
2016-07-26,0.326078589442,0.673921410558,9189.99931311
2016-07-27,0.319428033177,0.680571966823,9188.00263839
2016-07-28,0.32799454768,0.67200545232,9193.68585112
2016-07-29,0.320767340798,0.679232659202,9190.38268878
2016-08-01,0.0627777777778,0.937222222222,8550.31930706
2016-08-02,0.171944444444,0.828055555556,8603.97549465
2016-08-03,0.177330883468,0.822669116532,8629.46792135
2016-08-04,0.178269723256,0.821730276744,8625.30200128
2016-08-05,0.210983291887,0.789016708113,8656.33619359
2016-08-08,0.226784916779,0.773215083221,8652.31960775
2016-08-09,0.232496678297,0.767503321703,8671.32754012
2016-08-10,0.230072882863,0.769927117137,8660.72586359
2016-08-11,0.231165132043,0.768834867957,8658.33046254
2016-08-12,0.229891069292,0.770108930708,8649.62911492
2016-08-15,0.19130867925,0.80869132075,8634.01815391
2016-08-16,0.187358167605,0.812641832395,8611.63781571
2016-08-17,0.188685898563,0.811314101437,8614.5797358
2016-08-18,0.190405483227,0.809594516773,8617.87216383
2016-08-19,0.230909374999,0.769090625001,8640.20119218
2016-08-22,0.212395549152,0.787604450848,8643.12951068
2016-08-23,0.200160732412,0.799839267588,8630.66867641
2016-08-24,0.203040102896,0.796959897104,8625.54461783
2016-08-25,0.204741303699,0.795258696301,8629.79456979
2016-08-26,0.197548850474,0.802451149526,8602.20642664
2016-08-29,0.208029627461,0.791970372539,8622.82654589
2016-08-30,0.205633852388,0.794366147612,8612.11367605
2016-08-31,0.206694975089,0.793305024911,8606.2537102
2016-09-01,0.210833333333,0.789166666667,8616.46159276
2016-09-02,0.268281603825,0.731718396175,8689.95375808
2016-09-05,0.292777777778,0.707222222222,8734.7538325
2016-09-06,0.3225,0.6775,8745.85555271
2016-09-07,0.335555555556,0.664444444444,8802.55506649
2016-09-08,0.336111111111,0.663888888889,8791.15071622
2016-09-09,0.338611111111,0.661388888889,8797.56417705
2016-09-12,0.303611111111,0.696388888889,8721.15893204
2016-09-13,0.306111111111,0.693888888889,8725.16702029
2016-09-14,0.305,0.695,8718.89041711
2016-09-15,0.305833333333,0.694166666667,8717.43098392
2016-09-16,0.297222222222,0.702777777778,8714.2144503
2016-09-19,0.316111111111,0.683888888889,8723.11353715
2016-09-20,0.291111111111,0.708888888889,8668.07743049
2016-09-21,0.293055555556,0.706944444444,8661.56947858
2016-09-22,0.303611111111,0.696388888889,8692.4971684
2016-09-23,0.306111111111,0.693888888889,8691.00739012
2016-09-26,0.311944444444,0.688055555556,8703.63846685
2016-09-27,0.313055555556,0.686944444444,8700.02687641
2016-09-28,0.316666666667,0.683333333333,8700.09948718
2016-09-29,0.333333333333,0.666666666667,8715.50362227
2016-09-30,0.366388888889,0.633611111111,8740.13620985
2016-10-03,0.339722222222,0.660277777778,8716.46874751
2016-10-04,0.368888888889,0.631111111111,8729.8858166
2016-10-05,0.37,0.63,8725.38654188
2016-10-06,0.374166666667,0.625833333333,8752.08499259
2016-10-07,0.384444444444,0.615555555556,8760.52754748
2016-10-10,0.444444444444,0.555555555556,8883.95149437
2016-10-11,0.4425,0.5575,8856.45121824
2016-10-12,0.444722222222,0.555277777778,8854.00590386
2016-10-13,0.449166666667,0.550833333333,8868.31569496
2016-10-14,0.451388888889,0.548611111111,8862.7130312
2016-10-17,0.425,0.575,8851.6437721
2016-10-18,0.4075,0.5925,8814.19186461
2016-10-19,0.408888888889,0.591111111111,8810.05164368
2016-10-20,0.4125,0.5875,8822.09903859
2016-10-21,0.475833333333,0.524166666667,8965.62786386
2016-10-24,0.473888888889,0.526111111111,8936.46603461
2016-10-25,0.525277777778,0.474722222222,9089.68505862
2016-10-26,0.541388888889,0.458611111111,9143.44034059
2016-10-27,0.571111111111,0.428888888889,9171.50807321
2016-10-28,0.619166666667,0.380833333333,9389.94876612
2016-10-31,0.566388888889,0.433611111111,9256.6713751
2016-11-01,0.648055555556,0.351944444444,9466.12800835
2016-11-02,0.655277777778,0.344722222222,9523.00784986
2016-11-03,0.477164546415,0.522835453585,9106.11684737
2016-11-04,0.533055555556,0.466944444444,9214.39970911
2016-11-07,0.570833333333,0.429166666667,9236.95208208
2016-11-08,0.583888888889,0.416111111111,9277.85770723
